


ADC1	ADC2
637	2255
642	105
641	22
640	18
640	18
640	15
641	17
642	16
661	17
643	16
648	17
641	17
644	16
622	16
647	14
640	12
642	17
642	17
641	19
640	12
646	16
643	24
644	20
645	15
632	13
640	18
641	16
637	16
640	18
638	27
641	16
640	16
640	14
645	15
640	18
640	20
644	17
643	18
645	9
646	15
638	14
639	12
639	18
641	17
636	15
641	22
644	16
641	9
640	15
643	16
642	13
646	9
637	17
640	18
642	17
642	16
640	17
636	17
642	16
641	15
640	16
643	14
641	16
643	14
638	10
639	15
646	17
641	14
637	14
636	17
640	14
641	19
641	18
638	14
628	16
643	13
635	17
642	17
640	13
636	18
645	17
637	12
641	16
641	16
641	19
643	18
636	16
636	0
642	17
636	17
643	14
640	16
638	16
640	19
640	16
637	17
636	16
637	16
640	18
639	17
640	17
641	12
637	20
639	17
640	10
660	16
645	12
638	18
641	17
638	17
642	12
641	19
679	16
639	13
639	18
640	20
642	24
635	15
641	13
640	14
637	17
644	17
640	12
646	43
641	14
643	18
640	16
638	17
628	19
636	19
628	17
640	12
638	18
642	16
637	16
638	16
641	15
637	18
638	16
632	22
637	16
634	19
638	17
636	20
642	20
649	16
640	18
638	17
642	15
641	24
638	16
644	14
646	18
641	16
642	16
637	18
636	17
640	16
642	18
640	16
638	18
642	15
635	17
640	16
637	15
640	16
642	16
633	18
640	17
637	17
637	14
644	15
645	14
637	11
637	16
640	14
646	16
644	15
635	17
643	20
640	16
638	14
644	16
643	18
643	15
642	14
637	18
666	16
640	17
637	16
637	17
643	20
640	18
639	14
635	17
636	18
640	10
641	14
640	14
638	10
638	13
643	26
638	11
638	16
637	16
647	16
641	20
640	13
640	16
638	16
638	17
638	18
636	17
640	13
640	17
646	16
638	32
640	22
644	19
637	17
638	23
637	16
639	18
641	18
635	19
636	8
642	17
637	15
648	17
638	15
633	16
638	17
642	15
640	16
638	15
636	17
638	18
634	16
643	18
638	16
640	16
640	16
636	14
640	14
639	12
638	19
640	16
640	16
636	18
639	18
640	18
637	18
642	16
629	13
640	18
635	14
638	16
641	17
641	15
638	10
635	16
637	18
640	18
640	18
641	16
638	12
641	15
640	16
638	16
640	14
641	12
638	17
637	19
638	16
637	13
644	18
638	14
643	10
638	16
637	13
639	26
640	9
640	16
640	4
638	18
638	17
633	21
638	18
641	14
645	14
640	19
640	16
636	17
637	14
616	16
641	10
642	17
640	19
641	14
637	17
641	17
637	19
642	15
638	12
639	18
640	19
640	18
640	38
637	16
640	13
645	16
641	18
639	16
643	15
638	16
636	16
592	12
636	17
644	16
637	18
631	18
642	16
640	13
633	18
637	17
